FID,fstatus,akz,baujahr,fkt_faehig,bemerkung,oart,menge,rechts_w,hoch_w,land,gdb_geomattr_data,shape
wes.68598,1,,,0,,400,,378466,5710072,100000,,POINT (378466.4151999997 5710071.7480999995)
wes.68599,1,,,3,,400,,375035,5713694,100000,,POINT (375035.2335000001 5713694.2928)
wes.68600,1,,,0,,400,,402072,5888314,100000,,POINT (402072.4785000002 5888314.2073)
wes.68601,2,,,3,,430,,379649,5766614,100000,,POINT (379648.6431999998 5766613.7334)
wes.68602,1,,,1,LWE Metzelthiner Weg,430,,398853,5892319,100000,,POINT (398852.8981999997 5892319.1106)
wes.68603,2,,,0,,470,,429035,5740395,100000,,POINT (429034.6079000002 5740394.9626)
wes.68604,1,,,0,,400,,429367,5740078,100000,,POINT (429366.50189999957 5740077.698999999)
wes.68605,2,,,0,,470,,426180,5739724,100000,,POINT (426179.55709999986 5739724.081)
wes.68606,2,,,0,,470,,426175,5736468,100000,,POINT (426174.9167999998 5736467.650699999)
wes.68607,1,,,0,,400,,422804,5739895,100000,,POINT (422803.7977 5739895.0886)
wes.68608,1,,,0,,400,,424200,5742475,100000,,POINT (424200.18879999965 5742474.773800001)
wes.68609,2,,,3,,440,,358017,5833350,100000,,POINT (358017.2838000003 5833350.0853)
wes.68610,2,,,3,,440,0,368428,5827717,100000,,POINT (368427.5800000001 5827716.772700001)
wes.68611,2,,,0,offenes Gewässer,410,,359356,5871008,100000,,POINT (359355.72109999973 5871007.600299999)
wes.68612,1,,,1,,430,,346474,5776795,100000,,POINT (346473.7110000001 5776794.6883000005)
wes.68613,2,,,3,offenes Gewässer mit Saugstelle,470,,397280,5721893,100000,,POINT (397280.26290000044 5721893.1161)
wes.68614,2,,,3,,470,,397028,5720859,100000,,POINT (397027.5806 5720858.892999999)
wes.68615,2,,,3,Löschteich Erstaufnahmestelle Asylbewerber,470,,397028,5720859,100000,,POINT (397027.5806 5720858.892999999)
wes.68616,1,,,1,,400,0,381444,5761097,100000,,POINT (381443.79810000025 5761096.7563000005)
wes.68617,2,,,2,"Brunnen, Saugrohr vorhanden, Funktion überprüfen ",430,0,395656,5722386,100000,,POINT (395656.3746999996 5722385.8726)
wes.68618,2,,,3,,450,,429631,5876077,100000,,POINT (429631.3027999997 5876076.9586)
wes.68619,2,,,3,,450,,429198,5876246,100000,,POINT (429198.1621000003 5876245.515699999)
wes.68620,2,,,3,,450,,427535,5876057,100000,,POINT (427535.06520000007 5876056.5274)
wes.68621,1,,,0,,400,,415429,5746345,100000,,POINT (415428.92590000015 5746344.794299999)
wes.68622,1,,,0,,400,,419228,5746638,100000,,POINT (419227.62200000044 5746638.4189)
wes.68623,1,,,1,neu,400,,398076,5762745,100000,,POINT (398075.7753999997 5762745.432499999)
wes.68624,1,,,1,neu,400,,393599,5763550,100000,,POINT (393598.51350000035 5763550.322799999)
wes.68625,2,,,0,Hydrant vorhanden,450,,403088,5853567,100000,,POINT (403088.3132999996 5853567.1458)
wes.68626,1,,,0,,430,,350243,5773168,100000,,POINT (350243.2153000003 5773167.6589)
